#;Nazwa;Solo;Rankingowa elastyczna;winratio
201.;"Aliluca92 
EUNE (#201)";GrandMaster 768 LPWygrane: 140 (58.6%);;58.6
202.;"ahh fuk 
EUNE (#202)";GrandMaster 762 LPWygrane: 172 (55.8%);Diament IIWygrane: 6 (40.0%);55.8
203.;"Shadowest 
EUNE (#203)";GrandMaster 759 LPWygrane: 130 (55.8%);Challenger 613 LPWygrane: 196 (53.3%);55.8
204.;"Ankor 
EUNE (#204)";GrandMaster 752 LPWygrane: 158 (54.9%);Diament IWygrane: 54 (43.9%);54.9
205.;"Erring 
EUNE (#205)";GrandMaster 751 LPWygrane: 136 (53.5%);Master 69 LPWygrane: 95 (51.9%);53.5
206.;"Rainbow lol 
EUNE (#206)";GrandMaster 748 LPWygrane: 513 (51.8%);;51.8
207.;"Cvetelina UwU 
EUNE (#207)";GrandMaster 745 LPWygrane: 206 (52.6%);Diament IWygrane: 31 (56.4%);52.6
208.;"Nikiyas 
EUNE (#208)";GrandMaster 741 LPWygrane: 106 (59.9%);Master 48 LPWygrane: 176 (55.3%);59.9
209.;"panagosalex 
EUNE (#209)";GrandMaster 740 LPWygrane: 214 (57.7%);Diament IWygrane: 83 (54.2%);57.7
210.;"Nevczi 
EUNE (#210)";GrandMaster 738 LPWygrane: 99 (55.3%);;55.3
211.;"Maciuś lat 8 
EUNE (#211)";GrandMaster 738 LPWygrane: 91 (56.9%);Platyna IWygrane: 6 (42.9%);56.9
212.;"lntensoEU 
EUNE (#212)";GrandMaster 737 LPWygrane: 237 (53.4%);Diament IWygrane: 51 (52.0%);53.4
213.;"Rókí 
EUNE (#213)";GrandMaster 735 LPWygrane: 85 (57.8%);Diament IWygrane: 41 (73.2%);57.8
214.;"human faiIure 
EUNE (#214)";GrandMaster 733 LPWygrane: 248 (53.1%);Diament IWygrane: 40 (62.5%);53.1
215.;"Linko 
EUNE (#215)";GrandMaster 731 LPWygrane: 172 (57.5%);;57.5
216.;"Fx Xelius 
EUNE (#216)";GrandMaster 730 LPWygrane: 344 (55.6%);;55.6
217.;"Hi im Steve 69 
EUNE (#217)";GrandMaster 729 LPWygrane: 208 (52.1%);Platyna IWygrane: 11 (52.4%);52.1
218.;"Pwide sama 
EUNE (#218)";GrandMaster 729 LPWygrane: 116 (55.0%);;55.0
219.;"mikus15555 
EUNE (#219)";GrandMaster 728 LPWygrane: 176 (53.3%);;53.3
220.;"NakataMonster 
EUNE (#220)";GrandMaster 727 LPWygrane: 189 (56.1%);;56.1
221.;"Camelott 
EUNE (#221)";GrandMaster 724 LPWygrane: 143 (54.2%);;54.2
222.;"Pszczoła Miodowa 
EUNE (#222)";GrandMaster 722 LPWygrane: 189 (56.6%);Master 210 LPWygrane: 138 (49.6%);56.6
223.;"Mofre 
EUNE (#223)";GrandMaster 722 LPWygrane: 122 (53.5%);Platyna IIWygrane: 7 (58.3%);53.5
224.;"Koczis 
EUNE (#224)";GrandMaster 720 LPWygrane: 201 (53.5%);;53.5
225.;"Soviet Penguin 
EUNE (#225)";GrandMaster 719 LPWygrane: 115 (56.9%);Platyna IIWygrane: 110 (50.7%);56.9
226.;"La Vals D Amelie 
EUNE (#226)";GrandMaster 719 LPWygrane: 70 (59.3%);;59.3
227.;"lıl slυt 
EUNE (#227)";GrandMaster 718 LPWygrane: 252 (53.6%);;53.6
228.;"fedzed2 
EUNE (#228)";GrandMaster 716 LPWygrane: 128 (62.1%);Srebro IVWygrane: 11 (78.6%);62.1
229.;"chiong mi huia 
EUNE (#229)";GrandMaster 715 LPWygrane: 286 (52.2%);Platyna IVWygrane: 4 (33.3%);52.2
230.;"Ceroka 
EUNE (#230)";GrandMaster 710 LPWygrane: 180 (52.9%);Master 57 LPWygrane: 43 (86.0%);52.9
231.;"SI3G H31L 
EUNE (#231)";GrandMaster 709 LPWygrane: 182 (56.3%);Złoto IIIWygrane: 33 (57.9%);56.3
232.;"Morekokik 
EUNE (#232)";GrandMaster 708 LPWygrane: 89 (61.4%);Diament IVWygrane: 16 (53.3%);61.4
233.;"Muted Jungler 
EUNE (#233)";GrandMaster 706 LPWygrane: 168 (54.7%);;54.7
234.;"Dżankos Smurf 
EUNE (#234)";GrandMaster 706 LPWygrane: 110 (53.4%);Platyna IIWygrane: 12 (70.6%);53.4
235.;"Amaretto 
EUNE (#235)";GrandMaster 705 LPWygrane: 192 (55.2%);;55.2
236.;"paprykowy cesarz 
EUNE (#236)";GrandMaster 704 LPWygrane: 229 (53.0%);;53.0
237.;"intuje eastowcow 
EUNE (#237)";GrandMaster 697 LPWygrane: 135 (56.3%);;56.3
238.;"Misț 
EUNE (#238)";GrandMaster 695 LPWygrane: 150 (56.2%);;56.2
239.;"Nogger Glassen 
EUNE (#239)";GrandMaster 694 LPWygrane: 85 (73.3%);Srebro IWygrane: 12 (70.6%);73.3
240.;"G2 Dishwasher 
EUNE (#240)";GrandMaster 691 LPWygrane: 202 (53.6%);GrandMaster 559 LPWygrane: 178 (56.0%);53.6
241.;"Poral 
EUNE (#241)";GrandMaster 690 LPWygrane: 130 (56.5%);Platyna IIWygrane: 13 (59.1%);56.5
242.;"Εφιάλτης 
EUNE (#242)";GrandMaster 685 LPWygrane: 177 (55.0%);Platyna IWygrane: 27 (77.1%);55.0
243.;"tatínek kolofou 
EUNE (#243)";GrandMaster 685 LPWygrane: 63 (56.3%);;56.3
244.;"Kitchen 
EUNE (#244)";GrandMaster 684 LPWygrane: 274 (51.8%);Master 77 LPWygrane: 90 (57.7%);51.8
245.;"Tökgyalu 
EUNE (#245)";GrandMaster 680 LPWygrane: 128 (52.0%);Challenger 678 LPWygrane: 68 (57.6%);52.0
246.;"Tormy v2 
EUNE (#246)";GrandMaster 679 LPWygrane: 259 (53.8%);Diament IWygrane: 95 (68.3%);53.8
247.;"Aron Afshar 
EUNE (#247)";GrandMaster 679 LPWygrane: 156 (53.8%);;53.8
248.;"santa hat itachi 
EUNE (#248)";GrandMaster 676 LPWygrane: 172 (55.8%);Platyna IWygrane: 13 (68.4%);55.8
249.;"Powl 
EUNE (#249)";GrandMaster 676 LPWygrane: 91 (57.6%);;57.6
250.;"Sociopathic 
EUNE (#250)";GrandMaster 674 LPWygrane: 383 (50.9%);;50.9
251.;"Topul 
EUNE (#251)";GrandMaster 674 LPWygrane: 253 (55.8%);Złoto IWygrane: 14 (50.0%);55.8
252.;"FBI OPEN BOTLANE 
EUNE (#252)";GrandMaster 672 LPWygrane: 133 (53.4%);Diament IWygrane: 29 (49.2%);53.4
253.;"Insightful 
EUNE (#253)";GrandMaster 672 LPWygrane: 124 (52.8%);Platyna IWygrane: 13 (56.5%);52.8
254.;"Cj Entus Yasuo 
EUNE (#254)";GrandMaster 672 LPWygrane: 60 (58.3%);;58.3
255.;"ADC Κing 
EUNE (#255)";GrandMaster 670 LPWygrane: 118 (53.9%);GrandMaster 393 LPWygrane: 91 (52.3%);53.9
256.;"Hornlime 
EUNE (#256)";GrandMaster 669 LPWygrane: 102 (54.8%);;54.8
257.;"Akedeia 
EUNE (#257)";GrandMaster 665 LPWygrane: 170 (52.0%);;52.0
258.;"Dzinho 
EUNE (#258)";GrandMaster 663 LPWygrane: 143 (57.2%);Platyna IWygrane: 45 (60.0%);57.2
259.;"disableJ 
EUNE (#259)";GrandMaster 660 LPWygrane: 638 (52.3%);;52.3
260.;"ImBoredLessgo 
EUNE (#260)";GrandMaster 659 LPWygrane: 646 (51.5%);Diament IWygrane: 67 (62.6%);51.5
261.;"nasomatto 
EUNE (#261)";GrandMaster 659 LPWygrane: 340 (52.6%);Srebro IWygrane: 17 (58.6%);52.6
262.;"i am black irl 
EUNE (#262)";GrandMaster 659 LPWygrane: 216 (53.7%);;53.7
263.;"XLucke03X 
EUNE (#263)";GrandMaster 658 LPWygrane: 129 (57.1%);Platyna IIWygrane: 13 (50.0%);57.1
264.;"Kserek 
EUNE (#264)";GrandMaster 656 LPWygrane: 176 (57.0%);Platyna IWygrane: 13 (52.0%);57.0
265.;"LNG Doinb 
EUNE (#265)";GrandMaster 655 LPWygrane: 296 (53.0%);Platyna IVWygrane: 10 (66.7%);53.0
266.;"BIELASXD1 
EUNE (#266)";GrandMaster 655 LPWygrane: 207 (51.6%);Platyna IIIWygrane: 9 (75.0%);51.6
267.;"Kokessz 
EUNE (#267)";GrandMaster 655 LPWygrane: 179 (51.4%);;51.4
268.;"MΟRBIUS 
EUNE (#268)";GrandMaster 655 LPWygrane: 140 (54.1%);;54.1
269.;"ewwewewewe 
EUNE (#269)";GrandMaster 654 LPWygrane: 167 (58.2%);Srebro IIWygrane: 7 (63.6%);58.2
270.;"Tinutz 
EUNE (#270)";GrandMaster 653 LPWygrane: 161 (55.3%);;55.3
271.;"Ω Support 
EUNE (#271)";GrandMaster 648 LPWygrane: 195 (52.4%);;52.4
272.;"klaudijux 
EUNE (#272)";GrandMaster 644 LPWygrane: 64 (64.0%);Platyna IWygrane: 15 (45.5%);64.0
273.;"Rekkles Bot 
EUNE (#273)";GrandMaster 643 LPWygrane: 217 (55.8%);Diament IVWygrane: 12 (63.2%);55.8
274.;"luuki322 
EUNE (#274)";GrandMaster 643 LPWygrane: 91 (58.0%);Diament IWygrane: 109 (51.4%);58.0
275.;"DarkStar2 
EUNE (#275)";GrandMaster 642 LPWygrane: 411 (51.6%);;51.6
276.;"klakonik 
EUNE (#276)";GrandMaster 640 LPWygrane: 151 (53.5%);;53.5
277.;"alexmanz fanboy 
EUNE (#277)";GrandMaster 639 LPWygrane: 193 (52.4%);Brąz IWygrane: 14 (87.5%);52.4
278.;"Οοgway mester 
EUNE (#278)";GrandMaster 638 LPWygrane: 94 (54.3%);Platyna IWygrane: 15 (75.0%);54.3
279.;"Yυnο Gasai 
EUNE (#279)";GrandMaster 637 LPWygrane: 228 (51.9%);Diament IWygrane: 81 (49.4%);51.9
280.;"you matter 
EUNE (#280)";GrandMaster 636 LPWygrane: 95 (55.6%);Master 1 LPWygrane: 32 (50.8%);55.6
281.;"JabberJay1 
EUNE (#281)";GrandMaster 635 LPWygrane: 332 (53.5%);Diament IIIWygrane: 96 (51.9%);53.5
282.;"Salniel 
EUNE (#282)";GrandMaster 634 LPWygrane: 174 (54.4%);Diament IWygrane: 48 (51.1%);54.4
283.;"Vibin Darius 
EUNE (#283)";GrandMaster 634 LPWygrane: 144 (57.1%);Diament IIWygrane: 120 (48.0%);57.1
284.;"t1op 
EUNE (#284)";GrandMaster 633 LPWygrane: 107 (59.1%);Diament IWygrane: 17 (60.7%);59.1
285.;"Njokocokomoko 
EUNE (#285)";GrandMaster 631 LPWygrane: 230 (54.9%);Złoto IIWygrane: 80 (69.6%);54.9
286.;"Hooded Monk 
EUNE (#286)";GrandMaster 628 LPWygrane: 300 (53.9%);Platyna IIWygrane: 16 (61.5%);53.9
287.;"Insoy 
EUNE (#287)";GrandMaster 627 LPWygrane: 263 (53.0%);;53.0
288.;"Thiukis 
EUNE (#288)";GrandMaster 626 LPWygrane: 504 (50.6%);Platyna IIWygrane: 11 (39.3%);50.6
289.;"Calert 
EUNE (#289)";GrandMaster 624 LPWygrane: 341 (51.6%);Platyna IVWygrane: 3 (25.0%);51.6
290.;"Aquarin 
EUNE (#290)";GrandMaster 623 LPWygrane: 146 (52.0%);Platyna IWygrane: 9 (39.1%);52.0
291.;"GZeus 
EUNE (#291)";GrandMaster 622 LPWygrane: 193 (53.5%);Diament IWygrane: 55 (46.6%);53.5
292.;"go ff irl 
EUNE (#292)";GrandMaster 621 LPWygrane: 94 (57.7%);Diament IIWygrane: 23 (63.9%);57.7
293.;"Carry Only 
EUNE (#293)";GrandMaster 619 LPWygrane: 95 (54.0%);Diament IVWygrane: 20 (58.8%);54.0
294.;"forsakenwonder 
EUNE (#294)";GrandMaster 616 LPWygrane: 96 (56.1%);;56.1
295.;"Wicked Cookie 
EUNE (#295)";GrandMaster 615 LPWygrane: 173 (52.6%);Platyna IIWygrane: 24 (60.0%);52.6
296.;"shines endlessly 
EUNE (#296)";GrandMaster 615 LPWygrane: 94 (63.1%);;63.1
297.;"yarµsenai 
EUNE (#297)";GrandMaster 614 LPWygrane: 210 (53.3%);Diament IWygrane: 32 (62.7%);53.3
298.;"ImYourPain 
EUNE (#298)";GrandMaster 613 LPWygrane: 254 (52.4%);;52.4
299.;"Sayounara 
EUNE (#299)";GrandMaster 612 LPWygrane: 107 (61.1%);Platyna IWygrane: 10 (27.0%);61.1
300.;"ΞAS 
EUNE (#300)";GrandMaster 611 LPWygrane: 216 (56.0%);Platyna IIWygrane: 24 (66.7%);56.0
